trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount,time
0.8,-73.9747314453125,40.75121688842773,-73.98905181884766,40.75690078735352,6.8,4.6
1.3,-73.98958587646483,40.73900985717773,-73.99781036376955,40.72420120239258,8.69,5.416666666666667
4.6,-74.01190948486328,40.70708847045898,-73.97692108154298,40.67253494262695,22.85,17.833333333333332
17.7,-73.7960433959961,40.64468002319336,-74.00257873535155,40.73490905761719,70.01,41.43333333333333
2.9,-73.99415588378906,40.75100708007813,-73.966796875,40.78908920288085,17.29,12.933333333333334
10.28,-73.87306976318358,40.774089813232415,-74.00608825683594,40.72713851928711,34.85,21.05
3.59,-73.76023864746094,40.72079849243164,-73.74787139892578,40.727821350097656,13.8,11.933333333333334
2.57,-74.01177215576173,40.704349517822266,-73.988037109375,40.7327995300293,13.53,12.35
20.48,-73.78224182128906,40.64440536499024,-73.98870849609375,40.74464797973633,70.01,28.466666666666665
5.3,-73.989990234375,40.74997329711913,-73.9176025390625,40.75824737548828,21.3,25.166666666666668
2.76,-74.01187896728516,40.70773696899415,-73.99449157714845,40.74067306518555,10.8,8.5
0.9,-73.9952392578125,40.7496337890625,-73.9862060546875,40.759124755859375,8.15,5.4
2.63,-73.98210906982422,40.758243560791016,-73.98117065429686,40.73072052001953,13.3,10.4
2.3,-73.97154998779298,40.7572135925293,-73.98342132568358,40.74995422363281,12.3,13.766666666666667
2.9,-73.99220275878906,40.76396942138672,-73.97222137451173,40.79647445678711,12.3,5.45
0.7,-73.97868347167969,40.77752685546875,-73.97414398193358,40.78327178955078,7.0,4.383333333333334
5.07,-73.98934936523438,40.7406005859375,-73.94656372070312,40.72240829467773,18.3,15.95
3.93,-73.99252319335938,40.73074340820313,-73.94257354736328,40.7117576599121,19.56,17.15
4.44,-73.98246002197266,40.76762390136719,-73.9915771484375,40.72460174560547,19.8,19.383333333333333
3.9,-74.00511169433594,40.71975708007813,-73.95863342285155,40.6908073425293,20.35,16.783333333333335
11.2,-73.87297821044923,40.77415084838867,-73.9890899658203,40.7566795349121,45.84,20.95
3.9,-73.98709106445312,40.73922729492188,-73.94934844970702,40.78104782104492,16.8,14.383333333333333
2.7,-73.98362731933594,40.72174072265625,-73.97787475585938,40.74628448486328,10.8,6.8
0.6,-73.97059631347656,40.75591659545898,-73.97391510009766,40.76134490966797,6.3,4.533333333333333
2.6,-73.97279357910156,40.75997543334961,-74.00122833251955,40.733970642089844,13.55,9.683333333333334
2.3,-74.0135498046875,40.704383850097656,-74.00613403320312,40.727088928222656,13.5,9.783333333333333
1.6,-73.97386169433594,40.76374435424805,-73.95671844482422,40.7723045349121,10.8,9.283333333333333
9.82,-73.87494659423827,40.77404022216797,-73.98558807373048,40.727294921875,33.3,17.216666666666665
4.1,-73.97471618652342,40.75342178344727,-74.0068817138672,40.70512008666992,18.96,16.35
13.21,-73.87347412109375,40.77401351928711,-73.89386749267578,40.64340591430664,38.3,24.233333333333334
20.68,-73.7892837524414,40.647010803222656,-73.97955322265625,40.788738250732415,71.34,34.0
10.89,-73.87448120117188,40.7739486694336,-73.99559020996094,40.6873893737793,41.16,22.983333333333334
0.75,-73.95970153808595,40.7709846496582,-73.96759796142578,40.76780700683594,6.8,2.4833333333333334
10.9,-73.86348724365234,40.77002716064453,-73.97293090820312,40.75664520263672,38.34,20.65
1.9,-73.98342132568358,40.765323638916016,-73.97312927246094,40.748085021972656,9.8,8.483333333333333
9.29,-73.87471771240234,40.77411651611328,-73.96388244628906,40.76367568969727,36.34,14.616666666666667
3.9,-73.86334228515625,40.76993179321289,-73.9209976196289,40.76462936401367,14.3,8.933333333333334
7.71,-73.99526977539062,40.724964141845696,-73.88868713378906,40.75140380859375,34.19,20.2
2.84,-73.97114562988281,40.69323348999024,-73.95781707763672,40.717750549316406,14.16,9.533333333333333
5.86,-73.8744583129883,40.77404022216797,-73.85415649414062,40.720680236816406,19.3,13.466666666666667
11.03,-73.87454223632812,40.77405166625977,-73.98072052001955,40.756919860839844,38.34,20.8
